!!ATOK_TANGO_TEXT_HEADER_1

!!
!! format: https://support.justsystems.com/faq/1032/app/servlet/qadoc?QID=033057
!!  自動置換する/しない: 文字を変換するときに、設定した置換候補に自動的に置き換えるか置き換えないかを設定します。
!!  品詞: https://support.justsystems.com/faq/1032/app/servlet/qadoc?QID=032741
!!   よく使うの: 名詞/固有人姓/固有人名/固有人他/固有地名/固有組織/固有商品/固有一般/顔文字
!!
!!よみ(ひらがな)	単語	品詞	コメント(以下省略可能)	自動変換(する/しない)	置換候補(最大5個)
!!

!!
!! 名字は変換で簡単に出なさそうなもの(主観)だけ登録しています
!!

!!
!! のりプロ
!! https://noripro.jp/#talent
!!
のりぷろ	のりプロ	固有組織
つくだにのりお	佃煮のりお	固有人他
いぬやまたまき	犬山たまき	固有人他
しらゆきみしろ	白雪みしろ	固有人他
えのみやみるく	愛宮みるく	固有人他
えのみや	愛宮	固有人姓
ひめさきゆずる	姫咲ゆずる	固有人他
ひめさき	姫咲	固有人姓
くまがやたくま	熊谷タクマ	固有人他
ほおずきわらべ	鬼灯わらべ	固有人他
ゆめのりりす	夢野リリス	固有人他
おうまきらら	逢魔きらら	固有人他
くるみざわもも	胡桃澤もも	固有人他
みるたににぃあ	看谷にぃあ	固有人他
みるたににいあ	看谷にぃあ	固有人他
みるたに	看谷	固有人他
いなりいろは	稲荷いろは	固有人他
れぐるしゅ・らいおんはーと	レグルシュ・ライオンハート	固有人他
れぐるしゅらいおんはーと	レグルシュ・ライオンハート	固有人他
れぐ	レグルシュ・ライオンハート	固有人他
ねこぜのしん	猫瀬乃しん	固有人他
ねこぜの	猫瀬乃	固有人姓
